bed_id,bed_code,bed_number,bed_status,ward_id,ward_type,bed_type,room_number,daily_charge,oxygen_supported,ventilator_supported,maintenance_status,bed_condition,last_sanitized_date,sanitation_frequency,created_date,updated_date
196,BED-000196,13-16,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Good,2024-12-24,Daily,2023-01-01,2025-01-01
197,BED-000197,13-17,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
198,BED-000198,13-18,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
199,BED-000199,13-19,Available,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
200,BED-000200,13-20,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-17,Daily,2023-01-01,2025-01-01
201,BED-000201,14-1,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
202,BED-000202,14-2,Available,14,Private,Private Bed,R-14,8000,True,False,Operational,Needs Repair,2024-12-22,Daily,2023-01-01,2025-01-01
203,BED-000203,14-3,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Good,2024-12-25,Daily,2023-01-01,2025-01-01
204,BED-000204,14-4,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
205,BED-000205,14-5,Available,14,Private,Private Bed,R-14,8000,True,False,Operational,Good,2024-12-25,Daily,2023-01-01,2025-01-01
206,BED-000206,14-6,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Good,2024-12-05,Daily,2023-01-01,2025-01-01
207,BED-000207,14-7,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Excellent,2024-12-19,Daily,2023-01-01,2025-01-01
208,BED-000208,14-8,Available,14,Private,Private Bed,R-14,8000,True,False,Operational,Good,2024-12-04,Daily,2023-01-01,2025-01-01
209,BED-000209,14-9,Reserved,14,Private,Private Bed,R-14,8000,True,False,Reserved,Excellent,2024-12-19,Daily,2023-01-01,2025-01-01
210,BED-000210,14-10,Available,14,Private,Private Bed,R-14,8000,True,False,Operational,Needs Repair,2024-12-13,Daily,2023-01-01,2025-01-01
211,BED-000211,14-11,Available,14,Private,Private Bed,R-14,8000,True,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
212,BED-000212,14-12,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Good,2024-12-25,Daily,2023-01-01,2025-01-01
213,BED-000213,14-13,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Excellent,2024-12-19,Daily,2023-01-01,2025-01-01
214,BED-000214,14-14,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Good,2024-12-28,Daily,2023-01-01,2025-01-01
215,BED-000215,14-15,Occupied,14,Private,Private Bed,R-14,8000,True,False,Operational,Good,2024-12-06,Daily,2023-01-01,2025-01-01
216,BED-000216,15-1,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-08,Daily,2023-01-01,2025-01-01
217,BED-000217,15-2,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Good,2024-12-30,Daily,2023-01-01,2025-01-01
218,BED-000218,15-3,Available,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-14,Daily,2023-01-01,2025-01-01
219,BED-000219,15-4,Available,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
220,BED-000220,15-5,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
221,BED-000221,15-6,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Needs Repair,2024-12-05,Daily,2023-01-01,2025-01-01
222,BED-000222,15-7,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Good,2024-12-07,Daily,2023-01-01,2025-01-01
223,BED-000223,15-8,Available,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-10,Daily,2023-01-01,2025-01-01
224,BED-000224,15-9,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-29,Daily,2023-01-01,2025-01-01
225,BED-000225,15-10,Available,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-29,Daily,2023-01-01,2025-01-01
226,BED-000226,15-11,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
227,BED-000227,15-12,Available,15,General,General Bed,R-15,2500,False,False,Operational,Good,2024-12-11,Daily,2023-01-01,2025-01-01
228,BED-000228,15-13,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
229,BED-000229,15-14,Occupied,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
230,BED-000230,15-15,Available,15,General,General Bed,R-15,2500,False,False,Operational,Excellent,2024-12-29,Daily,2023-01-01,2025-01-01
231,BED-000231,16-1,Occupied,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
232,BED-000232,16-2,Occupied,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Good,2024-12-10,Daily,2023-01-01,2025-01-01
233,BED-000233,16-3,Occupied,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Excellent,2024-12-04,Daily,2023-01-01,2025-01-01
234,BED-000234,16-4,Available,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Good,2024-12-21,Daily,2023-01-01,2025-01-01
235,BED-000235,16-5,Occupied,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
236,BED-000236,16-6,Available,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
237,BED-000237,16-7,Reserved,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Reserved,Good,2024-12-03,Daily,2023-01-01,2025-01-01
238,BED-000238,16-8,Occupied,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Excellent,2024-12-19,Daily,2023-01-01,2025-01-01
239,BED-000239,16-9,Occupied,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Excellent,2024-12-17,Daily,2023-01-01,2025-01-01
240,BED-000240,16-10,Available,16,Semi-Private,Semi-Private Bed,R-16,5000,True,False,Operational,Good,2024-12-15,Daily,2023-01-01,2025-01-01
241,BED-000241,17-1,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-21,Daily,2023-01-01,2025-01-01
242,BED-000242,17-2,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
243,BED-000243,17-3,Available,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-05,Daily,2023-01-01,2025-01-01
244,BED-000244,17-4,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-17,Daily,2023-01-01,2025-01-01
245,BED-000245,17-5,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
246,BED-000246,17-6,Available,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
247,BED-000247,17-7,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
248,BED-000248,17-8,Available,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
249,BED-000249,17-9,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
250,BED-000250,17-10,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Good,2024-12-23,Daily,2023-01-01,2025-01-01
251,BED-000251,17-11,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
252,BED-000252,17-12,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Good,2024-12-19,Daily,2023-01-01,2025-01-01
253,BED-000253,17-13,Available,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-16,Daily,2023-01-01,2025-01-01
254,BED-000254,17-14,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
255,BED-000255,17-15,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-10,Daily,2023-01-01,2025-01-01
256,BED-000256,17-16,Available,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
257,BED-000257,17-17,Available,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-04,Daily,2023-01-01,2025-01-01
258,BED-000258,17-18,Available,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
259,BED-000259,17-19,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
260,BED-000260,17-20,Occupied,17,General,General Bed,R-17,2500,False,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
261,BED-000261,18-1,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
262,BED-000262,18-2,Available,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Good,2024-12-25,Daily,2023-01-01,2025-01-01
263,BED-000263,18-3,Available,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
264,BED-000264,18-4,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Needs Repair,2024-12-15,Daily,2023-01-01,2025-01-01
265,BED-000265,18-5,Available,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Good,2024-12-02,Daily,2023-01-01,2025-01-01
266,BED-000266,18-6,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
267,BED-000267,18-7,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-21,Daily,2023-01-01,2025-01-01
268,BED-000268,18-8,Available,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Good,2024-12-11,Daily,2023-01-01,2025-01-01
269,BED-000269,18-9,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Good,2024-12-30,Daily,2023-01-01,2025-01-01
270,BED-000270,18-10,Available,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
271,BED-000271,18-11,Available,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
272,BED-000272,18-12,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-25,Daily,2023-01-01,2025-01-01
273,BED-000273,18-13,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
274,BED-000274,18-14,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
275,BED-000275,18-15,Occupied,18,Semi-Private,Semi-Private Bed,R-18,5000,True,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
276,BED-000276,19-1,Available,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
277,BED-000277,19-2,Occupied,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
278,BED-000278,19-3,Occupied,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Good,2024-12-05,Daily,2023-01-01,2025-01-01
279,BED-000279,19-4,Available,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-10,Daily,2023-01-01,2025-01-01
280,BED-000280,19-5,Occupied,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
281,BED-000281,19-6,Occupied,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
282,BED-000282,19-7,Available,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-28,Daily,2023-01-01,2025-01-01
283,BED-000283,19-8,Available,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
284,BED-000284,19-9,Occupied,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-07,Daily,2023-01-01,2025-01-01
285,BED-000285,19-10,Occupied,19,Semi-Private,Semi-Private Bed,R-19,5000,True,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
286,BED-000286,20-1,Available,20,General,General Bed,R-20,2500,False,False,Operational,Needs Repair,2024-12-25,Daily,2023-01-01,2025-01-01
287,BED-000287,20-2,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
288,BED-000288,20-3,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Good,2024-12-18,Daily,2023-01-01,2025-01-01
289,BED-000289,20-4,Available,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
290,BED-000290,20-5,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
291,BED-000291,20-6,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Good,2024-12-21,Daily,2023-01-01,2025-01-01
292,BED-000292,20-7,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Good,2024-12-07,Daily,2023-01-01,2025-01-01
293,BED-000293,20-8,Available,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-14,Daily,2023-01-01,2025-01-01
294,BED-000294,20-9,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
295,BED-000295,20-10,Available,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
296,BED-000296,20-11,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
297,BED-000297,20-12,Available,20,General,General Bed,R-20,2500,False,False,Operational,Good,2024-12-24,Daily,2023-01-01,2025-01-01
298,BED-000298,20-13,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Good,2024-12-18,Daily,2023-01-01,2025-01-01
299,BED-000299,20-14,Available,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-11,Daily,2023-01-01,2025-01-01
300,BED-000300,20-15,Occupied,20,General,General Bed,R-20,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
301,BED-000301,21-1,Available,21,General,General Bed,R-21,2500,False,False,Operational,Good,2024-12-02,Daily,2023-01-01,2025-01-01
302,BED-000302,21-2,Available,21,General,General Bed,R-21,2500,False,False,Operational,Good,2024-12-27,Daily,2023-01-01,2025-01-01
303,BED-000303,21-3,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-11,Daily,2023-01-01,2025-01-01
304,BED-000304,21-4,Available,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
305,BED-000305,21-5,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
306,BED-000306,21-6,Available,21,General,General Bed,R-21,2500,False,False,Operational,Needs Repair,2024-12-09,Daily,2023-01-01,2025-01-01
307,BED-000307,21-7,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Good,2024-12-02,Daily,2023-01-01,2025-01-01
308,BED-000308,21-8,Maintenance,21,General,General Bed,R-21,2500,False,False,Under Maintenance,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
309,BED-000309,21-9,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
310,BED-000310,21-10,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
311,BED-000311,21-11,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Good,2024-12-26,Daily,2023-01-01,2025-01-01
312,BED-000312,21-12,Available,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-10,Daily,2023-01-01,2025-01-01
313,BED-000313,21-13,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
314,BED-000314,21-14,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
315,BED-000315,21-15,Occupied,21,General,General Bed,R-21,2500,False,False,Operational,Excellent,2024-12-16,Daily,2023-01-01,2025-01-01
316,BED-000316,22-1,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Good,2025-01-01,Daily,2023-01-01,2025-01-01
317,BED-000317,22-2,Available,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-11,Daily,2023-01-01,2025-01-01
318,BED-000318,22-3,Available,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
319,BED-000319,22-4,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
320,BED-000320,22-5,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-05,Daily,2023-01-01,2025-01-01
321,BED-000321,22-6,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
322,BED-000322,22-7,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Good,2024-12-26,Daily,2023-01-01,2025-01-01
323,BED-000323,22-8,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-04,Daily,2023-01-01,2025-01-01
324,BED-000324,22-9,Available,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-19,Daily,2023-01-01,2025-01-01
325,BED-000325,22-10,Available,22,General,General Bed,R-22,2500,False,False,Operational,Good,2024-12-30,Daily,2023-01-01,2025-01-01
326,BED-000326,22-11,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Good,2024-12-17,Daily,2023-01-01,2025-01-01
327,BED-000327,22-12,Available,22,General,General Bed,R-22,2500,False,False,Operational,Good,2024-12-23,Daily,2023-01-01,2025-01-01
328,BED-000328,22-13,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-14,Daily,2023-01-01,2025-01-01
329,BED-000329,22-14,Occupied,22,General,General Bed,R-22,2500,False,False,Operational,Good,2024-12-12,Daily,2023-01-01,2025-01-01
330,BED-000330,22-15,Available,22,General,General Bed,R-22,2500,False,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
331,BED-000331,23-1,Available,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
332,BED-000332,23-2,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Good,2024-12-27,Daily,2023-01-01,2025-01-01
333,BED-000333,23-3,Available,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Good,2024-12-27,Daily,2023-01-01,2025-01-01
334,BED-000334,23-4,Available,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
335,BED-000335,23-5,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
336,BED-000336,23-6,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-25,Daily,2023-01-01,2025-01-01
337,BED-000337,23-7,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Good,2024-12-31,Daily,2023-01-01,2025-01-01
338,BED-000338,23-8,Available,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
339,BED-000339,23-9,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-16,Daily,2023-01-01,2025-01-01
340,BED-000340,23-10,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
341,BED-000341,23-11,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-29,Daily,2023-01-01,2025-01-01
342,BED-000342,23-12,Reserved,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Reserved,Good,2024-12-14,Daily,2023-01-01,2025-01-01
343,BED-000343,23-13,Available,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
344,BED-000344,23-14,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-16,Daily,2023-01-01,2025-01-01
345,BED-000345,23-15,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
346,BED-000346,23-16,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Good,2024-12-03,Daily,2023-01-01,2025-01-01
347,BED-000347,23-17,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Good,2024-12-19,Daily,2023-01-01,2025-01-01
348,BED-000348,23-18,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Good,2024-12-16,Daily,2023-01-01,2025-01-01
349,BED-000349,23-19,Available,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
350,BED-000350,23-20,Occupied,23,Semi-Private,Semi-Private Bed,R-23,5000,True,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
351,BED-000351,24-1,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-02,Every Patient,2023-01-01,2025-01-01
352,BED-000352,24-2,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Good,2024-12-04,Every Patient,2023-01-01,2025-01-01
353,BED-000353,24-3,Available,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-14,Every Patient,2023-01-01,2025-01-01
354,BED-000354,24-4,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-08,Every Patient,2023-01-01,2025-01-01
355,BED-000355,24-5,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-22,Every Patient,2023-01-01,2025-01-01
356,BED-000356,24-6,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-09,Every Patient,2023-01-01,2025-01-01
357,BED-000357,24-7,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Needs Repair,2024-12-22,Every Patient,2023-01-01,2025-01-01
358,BED-000358,24-8,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-03,Every Patient,2023-01-01,2025-01-01
359,BED-000359,24-9,Available,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-19,Every Patient,2023-01-01,2025-01-01
360,BED-000360,24-10,Occupied,24,ICU,ICU Bed,R-24,15000,True,True,Operational,Excellent,2024-12-14,Every Patient,2023-01-01,2025-01-01
361,BED-000361,25-1,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-20,Every Patient,2023-01-01,2025-01-01
362,BED-000362,25-2,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-08,Every Patient,2023-01-01,2025-01-01
363,BED-000363,25-3,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-24,Every Patient,2023-01-01,2025-01-01
364,BED-000364,25-4,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Good,2024-12-24,Every Patient,2023-01-01,2025-01-01
365,BED-000365,25-5,Available,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Needs Repair,2024-12-24,Every Patient,2023-01-01,2025-01-01
366,BED-000366,25-6,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-16,Every Patient,2023-01-01,2025-01-01
367,BED-000367,25-7,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-07,Every Patient,2023-01-01,2025-01-01
368,BED-000368,25-8,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-07,Every Patient,2023-01-01,2025-01-01
369,BED-000369,25-9,Available,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-13,Every Patient,2023-01-01,2025-01-01
370,BED-000370,25-10,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Good,2024-12-23,Every Patient,2023-01-01,2025-01-01
371,BED-000371,25-11,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-22,Every Patient,2023-01-01,2025-01-01
372,BED-000372,25-12,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-26,Every Patient,2023-01-01,2025-01-01
373,BED-000373,25-13,Available,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-15,Every Patient,2023-01-01,2025-01-01
374,BED-000374,25-14,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-14,Every Patient,2023-01-01,2025-01-01
375,BED-000375,25-15,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Needs Repair,2024-12-28,Every Patient,2023-01-01,2025-01-01
376,BED-000376,25-16,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-12,Every Patient,2023-01-01,2025-01-01
377,BED-000377,25-17,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-13,Every Patient,2023-01-01,2025-01-01
378,BED-000378,25-18,Available,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-15,Every Patient,2023-01-01,2025-01-01
379,BED-000379,25-19,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-11,Every Patient,2023-01-01,2025-01-01
380,BED-000380,25-20,Occupied,25,ICU,ICU Bed,R-25,15000,True,True,Operational,Excellent,2024-12-14,Every Patient,2023-01-01,2025-01-01
381,BED-000381,26-1,Occupied,26,ICU,ICU Bed,R-26,15000,True,True,Operational,Excellent,2024-12-24,Every Patient,2023-01-01,2025-01-01
382,BED-000382,26-2,Occupied,26,ICU,ICU Bed,R-26,15000,True,True,Operational,Excellent,2024-12-27,Every Patient,2023-01-01,2025-01-01
