assignment_id,employee_id,department_id,ward_id,admission_id,assignment_date,shift_type,shift_start_time,shift_end_time,assignment_role,assignment_status,supervisor_id,remarks,created_by,updated_by,created_date,updated_date
194,462,2,23,877,2024-05-16,Night,23:00:00,07:00:00,Reception Executive,Active,223,Shift Completed,System,System,2024-05-16,2024-05-18
195,463,2,25,32094,2025-08-16,Morning,07:00:00,15:00:00,Staff Nurse,Active,478,System Generated,System,System,2025-08-16,2025-08-21
196,464,6,13,4143,2025-07-17,Evening,15:00:00,23:00:00,Pharmacist,Active,372,Shift Completed,System,System,2025-07-17,2025-07-17
197,465,7,12,15203,2024-04-05,Morning,07:00:00,15:00:00,Staff Nurse,Active,423,Emergency Coverage,System,System,2024-04-05,2024-04-10
198,466,5,2,39735,2025-01-01,Evening,15:00:00,23:00:00,Lab Technician,Active,483,Emergency Coverage,System,System,2025-01-01,2025-01-01
199,467,1,10,7080,2025-01-21,Evening,15:00:00,23:00:00,Pharmacist,Completed,402,Temporary Assignment,System,System,2025-01-21,2025-01-27
200,475,1,22,7988,2025-07-13,Evening,15:00:00,23:00:00,Emergency Technician,Completed,443,Temporary Assignment,System,System,2025-07-13,2025-07-19
201,480,3,12,39568,2025-06-27,Night,23:00:00,07:00:00,Ward Assistant,Active,490,Emergency Coverage,System,System,2025-06-27,2025-06-27
202,481,2,17,28941,2024-01-25,Evening,15:00:00,23:00:00,Ward Assistant,Completed,103,Emergency Coverage,System,System,2024-01-25,2024-01-26
203,482,5,20,37234,2025-06-01,Evening,15:00:00,23:00:00,Ward Assistant,Active,273,Emergency Coverage,System,System,2025-06-01,2025-06-04
204,485,10,4,17020,2023-09-13,Evening,15:00:00,23:00:00,Reception Executive,Completed,14,Shift Completed,System,System,2023-09-13,2023-09-14
205,487,6,12,18078,2024-12-09,Night,23:00:00,07:00:00,Pharmacist,Completed,159,Emergency Coverage,System,System,2024-12-09,2024-12-12
206,495,7,18,26259,2024-03-25,Night,23:00:00,07:00:00,Reception Executive,Active,152,On Duty,System,System,2024-03-25,2024-03-30
207,500,4,10,21137,2023-01-10,Night,23:00:00,07:00:00,Staff Nurse,Active,483,System Generated,System,System,2023-01-10,2023-01-13
