inventory_id,current_stock,reorder_level,inventory_status,last_restock_date,drug_id,warehouse_location,storage_zone,batch_number,supplier_lead_time_days,expiry_date,reorder_quantity,safety_stock,maximum_stock,reorder_point,next_inspection_date,inspection_status,created_by,updated_by,created_date,updated_date
153,395,206,Normal,2021-02-06,153,Warehouse A,Cold Storage (2-8°C),BT-801695,6,2027-04-28,0,103,824,206,2026-08-12,Pending,System,System,2023-01-01,2025-01-01
154,350,287,Normal,2023-08-07,154,Central Pharmacy,Ambient Storage,BT-881545,9,2027-03-15,0,143,1148,287,2026-08-20,Pending,System,System,2023-01-01,2025-01-01
155,205,216,Low,2023-10-31,155,ICU Pharmacy,Ambient Storage,BT-145030,8,2028-03-02,432,108,864,216,2026-08-16,Pending,System,System,2023-01-01,2025-01-01
156,796,169,Normal,2025-05-08,156,Warehouse A,Controlled Drug Room,BT-823736,6,2027-05-26,0,84,676,169,2026-09-08,Completed,System,System,2023-01-01,2025-01-01
157,130,296,Low,2021-12-31,157,Central Pharmacy,Ambient Storage,BT-614812,7,2028-05-11,592,148,1184,296,2026-08-12,Completed,System,System,2023-01-01,2025-01-01
158,963,170,Normal,2020-08-05,158,ICU Pharmacy,Cold Storage (2-8°C),BT-440924,6,2028-10-22,0,85,680,170,2026-09-20,Completed,System,System,2023-01-01,2025-01-01
159,995,122,Normal,2022-06-08,159,Warehouse A,Cold Storage (2-8°C),BT-745385,5,2026-11-26,0,61,488,122,2026-09-04,Completed,System,System,2023-01-01,2025-01-01
160,104,289,Low,2022-07-17,160,Warehouse B,Ambient Storage,BT-759583,5,2028-11-20,578,144,1156,289,2026-08-08,Completed,System,System,2023-01-01,2025-01-01
161,411,229,Normal,2023-06-09,161,Warehouse A,Ambient Storage,BT-596596,5,2026-03-12,0,114,916,229,2026-08-31,Completed,System,System,2023-01-01,2025-01-01
162,470,214,Normal,2025-09-10,162,Warehouse A,Cold Storage (2-8°C),BT-713786,11,2028-05-18,0,107,856,214,2026-08-11,Completed,System,System,2023-01-01,2025-01-01
163,763,249,Normal,2022-07-24,163,Emergency Pharmacy,Cold Storage (2-8°C),BT-692087,12,2027-01-05,0,124,996,249,2026-08-23,Completed,System,System,2023-01-01,2025-01-01
164,269,296,Low,2020-11-29,164,ICU Pharmacy,Cold Storage (2-8°C),BT-408162,9,2028-06-22,592,148,1184,296,2026-09-03,Completed,System,System,2023-01-01,2025-01-01
165,474,225,Normal,2020-04-19,165,Warehouse A,Controlled Drug Room,BT-821720,6,2026-11-14,0,112,900,225,2026-09-20,Pending,System,System,2023-01-01,2025-01-01
166,490,132,Normal,2022-09-19,166,ICU Pharmacy,Cold Storage (2-8°C),BT-384455,11,2027-11-16,0,66,528,132,2026-09-11,Pending,System,System,2023-01-01,2025-01-01
167,741,221,Normal,2022-05-30,167,Emergency Pharmacy,Cold Storage (2-8°C),BT-901378,9,2026-07-27,0,110,884,221,2026-09-18,Completed,System,System,2023-01-01,2025-01-01
168,237,169,Normal,2023-09-05,168,Central Pharmacy,Cold Storage (2-8°C),BT-838398,11,2028-11-28,0,84,676,169,2026-09-01,Completed,System,System,2023-01-01,2025-01-01
169,105,135,Low,2023-08-03,169,Emergency Pharmacy,Cold Storage (2-8°C),BT-984676,12,2026-06-20,270,67,540,135,2026-08-16,Completed,System,System,2023-01-01,2025-01-01
170,726,139,Normal,2023-05-21,170,Warehouse A,Ambient Storage,BT-493065,7,2028-08-29,0,69,556,139,2026-08-16,Completed,System,System,2023-01-01,2025-01-01
171,114,203,Low,2021-10-18,171,Central Pharmacy,Ambient Storage,BT-731194,12,2026-07-27,406,101,812,203,2026-08-07,Pending,System,System,2023-01-01,2025-01-01
172,742,193,Normal,2023-04-25,172,ICU Pharmacy,Ambient Storage,BT-866228,8,2026-05-29,0,96,772,193,2026-09-06,Pending,System,System,2023-01-01,2025-01-01
173,587,265,Normal,2020-08-09,173,Warehouse B,Controlled Drug Room,BT-996125,7,2026-10-23,0,132,1060,265,2026-09-08,Completed,System,System,2023-01-01,2025-01-01
174,931,299,Normal,2025-03-08,174,Warehouse A,Cold Storage (2-8°C),BT-489048,5,2027-11-15,0,149,1196,299,2026-08-06,Pending,System,System,2023-01-01,2025-01-01
175,575,117,Normal,2023-04-29,175,ICU Pharmacy,Cold Storage (2-8°C),BT-555158,12,2028-07-01,0,58,468,117,2026-09-03,Completed,System,System,2023-01-01,2025-01-01
176,870,127,Normal,2021-09-30,176,ICU Pharmacy,Controlled Drug Room,BT-450376,9,2027-10-31,0,63,508,127,2026-08-06,Completed,System,System,2023-01-01,2025-01-01
177,339,263,Normal,2022-06-27,177,Central Pharmacy,Controlled Drug Room,BT-570598,11,2028-06-01,0,131,1052,263,2026-08-06,Pending,System,System,2023-01-01,2025-01-01
178,204,214,Low,2024-01-09,178,Warehouse B,Ambient Storage,BT-421113,14,2026-06-26,428,107,856,214,2026-09-20,Pending,System,System,2023-01-01,2025-01-01
179,640,260,Normal,2023-02-07,179,Emergency Pharmacy,Controlled Drug Room,BT-310311,5,2027-06-04,0,130,1040,260,2026-08-14,Completed,System,System,2023-01-01,2025-01-01
180,951,108,Normal,2024-04-09,180,Warehouse B,Controlled Drug Room,BT-390618,13,2026-04-04,0,54,432,108,2026-08-15,Pending,System,System,2023-01-01,2025-01-01
181,334,149,Normal,2023-01-29,181,Warehouse A,Cold Storage (2-8°C),BT-192774,13,2027-04-05,0,74,596,149,2026-09-04,Pending,System,System,2023-01-01,2025-01-01
182,696,235,Normal,2024-02-16,182,Central Pharmacy,Controlled Drug Room,BT-608403,4,2028-07-15,0,117,940,235,2026-09-04,Completed,System,System,2023-01-01,2025-01-01
183,583,192,Normal,2022-12-14,183,ICU Pharmacy,Controlled Drug Room,BT-341410,6,2027-09-04,0,96,768,192,2026-09-20,Pending,System,System,2023-01-01,2025-01-01
184,739,200,Normal,2020-02-13,184,ICU Pharmacy,Controlled Drug Room,BT-212901,3,2028-11-17,0,100,800,200,2026-09-19,Completed,System,System,2023-01-01,2025-01-01
185,494,193,Normal,2020-10-30,185,Warehouse A,Ambient Storage,BT-504324,4,2026-08-15,0,96,772,193,2026-09-06,Pending,System,System,2023-01-01,2025-01-01
186,752,162,Normal,2025-10-05,186,ICU Pharmacy,Cold Storage (2-8°C),BT-683273,12,2027-05-30,0,81,648,162,2026-09-14,Completed,System,System,2023-01-01,2025-01-01
187,985,294,Normal,2020-07-09,187,Warehouse A,Controlled Drug Room,BT-244081,7,2028-06-20,0,147,1176,294,2026-08-24,Pending,System,System,2023-01-01,2025-01-01
188,128,277,Low,2020-11-07,188,Central Pharmacy,Cold Storage (2-8°C),BT-931576,5,2028-10-12,554,138,1108,277,2026-08-07,Pending,System,System,2023-01-01,2025-01-01
189,91,161,Low,2022-10-07,189,Central Pharmacy,Controlled Drug Room,BT-394484,13,2026-12-07,322,80,644,161,2026-08-07,Pending,System,System,2023-01-01,2025-01-01
190,863,276,Normal,2021-05-13,190,Warehouse B,Ambient Storage,BT-551413,3,2028-08-28,0,138,1104,276,2026-09-06,Completed,System,System,2023-01-01,2025-01-01
191,661,193,Normal,2025-12-18,191,Warehouse B,Cold Storage (2-8°C),BT-356427,6,2026-01-28,0,96,772,193,2026-09-01,Completed,System,System,2023-01-01,2025-01-01
192,63,134,Low,2025-10-07,192,Warehouse B,Ambient Storage,BT-484195,14,2026-01-13,268,67,536,134,2026-08-12,Completed,System,System,2023-01-01,2025-01-01
193,842,220,Normal,2025-01-01,193,Warehouse B,Controlled Drug Room,BT-541701,4,2026-04-25,0,110,880,220,2026-09-07,Pending,System,System,2023-01-01,2025-01-01
194,180,286,Low,2021-05-07,194,Central Pharmacy,Controlled Drug Room,BT-870589,7,2027-04-30,572,143,1144,286,2026-08-12,Pending,System,System,2023-01-01,2025-01-01
195,850,162,Normal,2020-08-25,195,Warehouse B,Cold Storage (2-8°C),BT-986195,6,2028-10-14,0,81,648,162,2026-09-04,Pending,System,System,2023-01-01,2025-01-01
196,766,124,Normal,2024-06-14,196,Warehouse B,Controlled Drug Room,BT-237653,9,2028-08-16,0,62,496,124,2026-08-10,Pending,System,System,2023-01-01,2025-01-01
197,680,204,Normal,2025-08-05,197,Emergency Pharmacy,Controlled Drug Room,BT-111784,10,2028-07-10,0,102,816,204,2026-08-17,Pending,System,System,2023-01-01,2025-01-01
198,99,175,Low,2023-04-22,198,Emergency Pharmacy,Cold Storage (2-8°C),BT-862066,13,2028-04-07,350,87,700,175,2026-08-22,Pending,System,System,2023-01-01,2025-01-01
199,194,102,Normal,2022-01-29,199,Warehouse B,Ambient Storage,BT-494389,14,2027-07-20,0,51,408,102,2026-08-11,Completed,System,System,2023-01-01,2025-01-01
200,139,239,Low,2024-03-30,200,Central Pharmacy,Cold Storage (2-8°C),BT-256194,8,2027-04-24,478,119,956,239,2026-08-11,Completed,System,System,2023-01-01,2025-01-01
201,340,123,Normal,2020-04-10,201,Warehouse A,Controlled Drug Room,BT-212064,10,2026-09-18,0,61,492,123,2026-09-12,Completed,System,System,2023-01-01,2025-01-01
202,618,246,Normal,2024-12-25,202,Warehouse A,Ambient Storage,BT-361720,13,2028-06-26,0,123,984,246,2026-09-17,Completed,System,System,2023-01-01,2025-01-01
203,247,262,Low,2021-01-04,203,Central Pharmacy,Ambient Storage,BT-659342,7,2026-07-23,524,131,1048,262,2026-08-24,Completed,System,System,2023-01-01,2025-01-01
204,813,144,Normal,2025-02-21,204,Central Pharmacy,Ambient Storage,BT-727251,9,2027-12-30,0,72,576,144,2026-09-05,Completed,System,System,2023-01-01,2025-01-01
205,355,182,Normal,2021-11-02,205,Central Pharmacy,Cold Storage (2-8°C),BT-740197,5,2028-01-27,0,91,728,182,2026-08-18,Completed,System,System,2023-01-01,2025-01-01
206,773,160,Normal,2024-05-23,206,Warehouse B,Ambient Storage,BT-499113,7,2027-12-09,0,80,640,160,2026-08-11,Completed,System,System,2023-01-01,2025-01-01
207,924,163,Normal,2025-09-13,207,Emergency Pharmacy,Ambient Storage,BT-472459,6,2027-04-24,0,81,652,163,2026-09-17,Pending,System,System,2023-01-01,2025-01-01
208,450,113,Normal,2023-01-14,208,Warehouse B,Controlled Drug Room,BT-926820,14,2028-07-23,0,56,452,113,2026-09-13,Pending,System,System,2023-01-01,2025-01-01
209,293,202,Normal,2025-07-24,209,Central Pharmacy,Cold Storage (2-8°C),BT-769994,7,2027-02-25,0,101,808,202,2026-09-20,Completed,System,System,2023-01-01,2025-01-01
210,211,116,Normal,2021-01-07,210,ICU Pharmacy,Cold Storage (2-8°C),BT-155418,6,2028-07-13,0,58,464,116,2026-08-22,Pending,System,System,2023-01-01,2025-01-01
211,733,294,Normal,2020-02-24,211,Warehouse B,Cold Storage (2-8°C),BT-994860,6,2027-06-07,0,147,1176,294,2026-08-09,Pending,System,System,2023-01-01,2025-01-01
212,348,146,Normal,2022-03-10,212,ICU Pharmacy,Ambient Storage,BT-615465,13,2026-06-18,0,73,584,146,2026-08-30,Completed,System,System,2023-01-01,2025-01-01
213,770,218,Normal,2025-01-20,213,Central Pharmacy,Ambient Storage,BT-914046,12,2026-05-08,0,109,872,218,2026-08-20,Pending,System,System,2023-01-01,2025-01-01
214,538,145,Normal,2023-01-29,214,Central Pharmacy,Ambient Storage,BT-497411,13,2028-12-28,0,72,580,145,2026-08-30,Pending,System,System,2023-01-01,2025-01-01
215,334,251,Normal,2025-02-15,215,Central Pharmacy,Controlled Drug Room,BT-225555,10,2026-10-06,0,125,1004,251,2026-09-12,Completed,System,System,2023-01-01,2025-01-01
216,598,213,Normal,2021-10-30,216,Warehouse A,Ambient Storage,BT-500400,4,2028-12-09,0,106,852,213,2026-09-12,Pending,System,System,2023-01-01,2025-01-01
217,757,141,Normal,2023-01-03,217,Warehouse A,Cold Storage (2-8°C),BT-492622,3,2027-07-15,0,70,564,141,2026-08-12,Completed,System,System,2023-01-01,2025-01-01
218,315,235,Normal,2020-02-13,218,Central Pharmacy,Cold Storage (2-8°C),BT-186277,9,2027-06-08,0,117,940,235,2026-09-02,Completed,System,System,2023-01-01,2025-01-01
219,292,279,Normal,2020-10-19,219,Emergency Pharmacy,Cold Storage (2-8°C),BT-652087,3,2027-06-17,0,139,1116,279,2026-09-11,Completed,System,System,2023-01-01,2025-01-01
220,839,245,Normal,2020-02-14,220,Warehouse B,Cold Storage (2-8°C),BT-489409,9,2026-08-23,0,122,980,245,2026-08-09,Completed,System,System,2023-01-01,2025-01-01
221,870,169,Normal,2022-05-31,221,ICU Pharmacy,Cold Storage (2-8°C),BT-530688,10,2028-10-15,0,84,676,169,2026-08-15,Pending,System,System,2023-01-01,2025-01-01
222,344,280,Normal,2020-09-17,222,Warehouse A,Cold Storage (2-8°C),BT-206196,10,2027-09-03,0,140,1120,280,2026-08-16,Pending,System,System,2023-01-01,2025-01-01
223,357,159,Normal,2023-03-09,223,Warehouse B,Controlled Drug Room,BT-716551,7,2026-11-19,0,79,636,159,2026-09-11,Pending,System,System,2023-01-01,2025-01-01
224,663,219,Normal,2024-12-25,224,Emergency Pharmacy,Cold Storage (2-8°C),BT-357763,13,2027-08-18,0,109,876,219,2026-09-18,Completed,System,System,2023-01-01,2025-01-01
225,589,139,Normal,2021-08-13,225,Emergency Pharmacy,Cold Storage (2-8°C),BT-308531,6,2028-05-30,0,69,556,139,2026-08-20,Completed,System,System,2023-01-01,2025-01-01
226,383,293,Normal,2020-04-02,226,Warehouse B,Ambient Storage,BT-489812,13,2028-02-20,0,146,1172,293,2026-09-13,Pending,System,System,2023-01-01,2025-01-01
227,848,273,Normal,2023-05-19,227,Warehouse B,Controlled Drug Room,BT-730768,9,2027-09-13,0,136,1092,273,2026-08-27,Completed,System,System,2023-01-01,2025-01-01
228,654,134,Normal,2020-07-16,228,Warehouse A,Ambient Storage,BT-431251,7,2026-12-10,0,67,536,134,2026-08-08,Pending,System,System,2023-01-01,2025-01-01
229,89,222,Low,2021-12-24,229,Warehouse A,Controlled Drug Room,BT-217523,5,2028-04-21,444,111,888,222,2026-08-15,Pending,System,System,2023-01-01,2025-01-01
230,676,273,Normal,2023-01-01,230,Warehouse A,Ambient Storage,BT-974654,13,2026-12-25,0,136,1092,273,2026-08-31,Completed,System,System,2023-01-01,2025-01-01
231,206,151,Normal,2022-09-16,231,Warehouse A,Controlled Drug Room,BT-196856,5,2027-09-02,0,75,604,151,2026-08-09,Pending,System,System,2023-01-01,2025-01-01
232,258,106,Normal,2025-11-29,232,Emergency Pharmacy,Ambient Storage,BT-118209,12,2026-05-14,0,53,424,106,2026-09-20,Completed,System,System,2023-01-01,2025-01-01
233,842,298,Normal,2025-04-04,233,Warehouse B,Ambient Storage,BT-657386,8,2028-03-03,0,149,1192,298,2026-08-12,Completed,System,System,2023-01-01,2025-01-01
234,555,258,Normal,2023-08-11,234,Warehouse A,Cold Storage (2-8°C),BT-952133,13,2027-03-23,0,129,1032,258,2026-08-26,Pending,System,System,2023-01-01,2025-01-01
235,863,138,Normal,2020-06-22,235,Warehouse A,Ambient Storage,BT-357388,9,2027-12-17,0,69,552,138,2026-09-14,Completed,System,System,2023-01-01,2025-01-01
236,780,236,Normal,2023-11-19,236,Warehouse B,Cold Storage (2-8°C),BT-705064,7,2026-12-16,0,118,944,236,2026-09-19,Completed,System,System,2023-01-01,2025-01-01
237,377,247,Normal,2021-10-14,237,Warehouse A,Controlled Drug Room,BT-916559,13,2027-03-07,0,123,988,247,2026-08-29,Completed,System,System,2023-01-01,2025-01-01
238,349,210,Normal,2023-06-12,238,Central Pharmacy,Controlled Drug Room,BT-711376,9,2027-09-02,0,105,840,210,2026-08-23,Completed,System,System,2023-01-01,2025-01-01
239,629,178,Normal,2024-08-24,239,Warehouse A,Controlled Drug Room,BT-118177,6,2026-01-15,0,89,712,178,2026-08-15,Pending,System,System,2023-01-01,2025-01-01
240,493,283,Normal,2024-06-01,240,ICU Pharmacy,Controlled Drug Room,BT-327305,14,2027-01-02,0,141,1132,283,2026-09-04,Completed,System,System,2023-01-01,2025-01-01
241,957,241,Normal,2025-11-02,241,Emergency Pharmacy,Controlled Drug Room,BT-740113,11,2028-10-22,0,120,964,241,2026-08-30,Pending,System,System,2023-01-01,2025-01-01
242,593,184,Normal,2021-06-29,242,Central Pharmacy,Ambient Storage,BT-673964,7,2026-11-28,0,92,736,184,2026-09-08,Completed,System,System,2023-01-01,2025-01-01
243,553,164,Normal,2020-06-30,243,Warehouse A,Ambient Storage,BT-283564,13,2026-06-21,0,82,656,164,2026-08-28,Completed,System,System,2023-01-01,2025-01-01
244,270,164,Normal,2021-12-05,244,Emergency Pharmacy,Ambient Storage,BT-447115,4,2028-11-02,0,82,656,164,2026-08-07,Completed,System,System,2023-01-01,2025-01-01
245,134,224,Low,2024-05-10,245,Emergency Pharmacy,Cold Storage (2-8°C),BT-157992,9,2027-07-10,448,112,896,224,2026-08-12,Pending,System,System,2023-01-01,2025-01-01
246,495,267,Normal,2024-02-23,246,ICU Pharmacy,Controlled Drug Room,BT-583132,3,2028-01-15,0,133,1068,267,2026-09-05,Pending,System,System,2023-01-01,2025-01-01
247,494,151,Normal,2025-05-06,247,Emergency Pharmacy,Cold Storage (2-8°C),BT-689108,11,2028-07-25,0,75,604,151,2026-09-14,Completed,System,System,2023-01-01,2025-01-01
248,587,138,Normal,2021-04-17,248,Central Pharmacy,Controlled Drug Room,BT-970233,11,2028-06-30,0,69,552,138,2026-09-17,Pending,System,System,2023-01-01,2025-01-01
249,923,171,Normal,2020-09-12,249,Central Pharmacy,Controlled Drug Room,BT-288115,9,2028-06-01,0,85,684,171,2026-08-31,Completed,System,System,2023-01-01,2025-01-01
250,694,252,Normal,2020-05-26,250,Warehouse A,Ambient Storage,BT-900696,3,2028-11-07,0,126,1008,252,2026-08-27,Completed,System,System,2023-01-01,2025-01-01
